Surname,Region
ველთაური,კახეთი
ველიაშვილი,კახეთი
ვენჯელაშვილი,კახეთი
ვეფხვიაშვილი,კახეთი
ვეფხიაშვილი,კახეთი
ვეფხიშვილი,კახეთი
ვეშაგურიძე,კახეთი
ვეშაპიძე,კახეთი
ვეშაპური,კახეთი
ზაალიშვილი,კახეთი
ზაგაიძე,კახეთი
ზავარაშვილი,კახეთი
ზაველური,კახეთი
ზავრაშვილი,კახეთი
ზაზანაშვილი,კახეთი
ზაზაშვილი,კახეთი
ზათიაშვილი,კახეთი
ზაკალაშვილი,კახეთი
ზაკაშვილი,კახეთი
ზალდასტანიშვილი,კახეთი
ზალიაშვილი,კახეთი
ზალიკაშვილი,კახეთი
ზალუაშვილი,კახეთი
ზამთარაშვილი,კახეთი
ზამთრეული,კახეთი
ზანდარაშვილი,კახეთი
ზანდუკელი,კახეთი
ზანქაიძე,კახეთი
ზარავანდაშვილი,კახეთი
ზარასპაშვილი,კახეთი
ზარაფიშვილი,კახეთი
ზარდიაშვილი,კახეთი
ზარიაშვილი,კახეთი
ზარიძე,კახეთი
ზასეიშვილი,კახეთი
ზასეშვილი,კახეთი
ზატიკაშვილი,კახეთი
ზატუაშვილი,კახეთი
ზაუტაშვილი,კახეთი
ზაქარიაშვილი,კახეთი
ზაღოშვილი,კახეთი
ზედელაშვილი,კახეთი
ზეინალაშვილი,კახეთი
ზვერიაშვილი,კახეთი
ზვიადაური,კახეთი
ზითანიშვილი,კახეთი
ზირაქიშვილი,კახეთი
ზუბადალაშვილი,კახეთი
ზუბალაშვილი,კახეთი
ზუბიტაშვილი,კახეთი
ზუკაკიშვილი,კახეთი
ზულიაშვილი,კახეთი
ზურაბაული,კახეთი
ზურაბაშვილი,კახეთი
ზურაბიშვილი,კახეთი
ზურაშვილი,კახეთი
ზურიაშვილი,კახეთი
ზურიკაშვილი,კახეთი
ზუროშვილი,კახეთი
ზურუბაშვილი,კახეთი
ზღაპარაძე,კახეთი
თაბუნიძე,კახეთი
თაგაური,კახეთი
თაგვაშვილი,კახეთი
თაგვიაშვილი,კახეთი
თაგოშვილი,კახეთი
თადიაური,კახეთი
თადიაშვილი,კახეთი
თავგორაშვილი,კახეთი
თავღორაშვილი,კახეთი
თაზაშვილი,კახეთი
თაზიაშვილი,კახეთი
თათარაიძე,კახეთი
თათარაძე,კახეთი
თათარგიორგიშვილი,კახეთი
თათარიძე,კახეთი
თათარსაბაშვილი,კახეთი
თათელაშვილი,კახეთი
თათელიშვილი,კახეთი
თათიკაშვილი,კახეთი
თათილაშვილი,კახეთი
თათრიაშვილი,კახეთი
თათრიშვილი,კახეთი
თათრულაიძე,კახეთი
თათულიშვილი,კახეთი
თათულაშვილი,კახეთი
თალიაშვილი,კახეთი
თამაზაშვილი,კახეთი
თანდაშვილი,კახეთი
თვალიაშვილი,კახეთი
თანდილაშვილი,კახეთი
თვალმიხელაშვილი,კახეთი
თარალაშვილი,კახეთი
თიაყაშვილი,კახეთი
თარალოშვილი,კახეთი
თარაშვილი,კახეთი
თარიმანაშვილი,კახეთი
თარიმანიშვილი,კახეთი
თარხნიშვილი,კახეთი
თაფლიაშვილი,კახეთი
თაღიაშვილი,კახეთი
თაღორაშვილი,კახეთი
თებლოშვილი,კახეთი
თეგაშვილი,კახეთი
თეგერაშვილი,კახეთი
თედეიშვილი,კახეთი
თედეშვილი,კახეთი
თედიაშვილი,კახეთი
თევდორაშვილი,კახეთი
თეთვაძე,კახეთი
თეთრაული,კახეთი
თელაურიძე,კახეთი
თენოშვილი,კახეთი
თერგიაშვილი,კახეთი
თექთუმანაშვილი,კახეთი
თვალჭრელიძე,კახეთი
თიბელაშვილი,კახეთი
თიგიშვილი,კახეთი
თითბერიძე,კახეთი
თითილოკაშვილი,კახეთი
თილიძე,კახეთი
თინაშვილი,კახეთი
თიღილაური,კახეთი
თოდაშვილი,კახეთი
თოთიაური,კახეთი
თოლომაშვილი,კახეთი
თორაძე,კახეთი
თორღვაიძე,კახეთი
თორღვაშვილი,კახეთი
თოფალაშვილი,კახეთი
თოფაძე,კახეთი
თოხარიკაშვილი,კახეთი
თუნიაშვილი,კახეთი
თურმანაული,კახეთი
თურქესტანიშვილი,კახეთი
თურქიაშვილი,კახეთი
თურქოშვილი,კახეთი
თუშაბრამიშვილი,კახეთი
თუშიშვილი,კახეთი
თუშური,კახეთი
იაგანაშვილი,კახეთი
იაგორაშვილი,კახეთი
იაკაშვილი,კახეთი
იორდანიშვილი,კახეთი
იაკობიშვილი,კახეთი
იაკოფიშვილი,კახეთი
იანვარაშვილი,კახეთი
იანტბერიძე,კახეთი
