Surname,Region
ლეჟავა,სამეგრელო
ლესინძე,სამეგრელო
ლეფონავა,სამეგრელო
ლეფსაია,სამეგრელო
ლეფსია,სამეგრელო
ლიპარტია,სამეგრელო
ლიპარტიანი,სამეგრელო
ლიფარიშვილი,სამეგრელო
ლიფონავა,სამეგრელო
ლოგუა,სამეგრელო
ლოლუა,სამეგრელო
ლომაია,სამეგრელო
ლომთაძე,სამეგრელო
ლომია,სამეგრელო
ლომიძე,სამეგრელო
ლომსაძე,სამეგრელო
ლორთქიფანიძე,სამეგრელო
ლორჩოშვილი,სამეგრელო
ლოჩოშვილი,სამეგრელო
ლუკავა,სამეგრელო
ლურსმანაშვილი,სამეგრელო
ლუხავა,სამეგრელო
მაგანია,სამეგრელო
მაისაია,სამეგრელო
მაისურაძე,სამეგრელო
მაკალათია,სამეგრელო
მაკარაძე,სამეგრელო
მალაზონია,სამეგრელო
მალანია,სამეგრელო
მალაშხია,სამეგრელო
მალიშავა,სამეგრელო
მამარდაშვილი,სამეგრელო
მამულაძე,სამეგრელო
მამულია,სამეგრელო
მამფორია,სამეგრელო
მანდარია,სამეგრელო
მანველიძე,სამეგრელო
მანია,სამეგრელო
მანტკავა,სამეგრელო
მანტუა,სამეგრელო
მანჩხავა,სამეგრელო
მანწკავა,სამეგრელო
მანჯავიძე,სამეგრელო
მანჯგალაძე,სამეგრელო
მარგვლიანი,სამეგრელო
მარგიანი,სამეგრელო
მარი,სამეგრელო
მარინი,სამეგრელო
მარკელია,სამეგრელო
მარკოზია,სამეგრელო
მარღანია,სამეგრელო
მარღია,სამეგრელო
მარშავა,სამეგრელო
მარშანია,სამეგრელო
მარშანია,სამეგრელო
მასხულია,სამეგრელო
მატახერია,სამეგრელო
მატკავა,სამეგრელო
მატუა,სამეგრელო
მაფორია,სამეგრელო
მაქანდარია,სამეგრელო
მაქაცარია,სამეგრელო
მაღლაკელიძე,სამეგრელო
მაღნარაძე,სამეგრელო
მაშავა,სამეგრელო
მაშია,სამეგრელო
მაშინაია,სამეგრელო
მაცაბერიძე,სამეგრელო
მაჭავარიანი,სამეგრელო
მაჭარაშვილი,სამეგრელო
მახარაძე,სამეგრელო
მახარია,სამეგრელო
მგალობლიშვილი,სამეგრელო
მგელაძე,სამეგრელო
მებონია,სამეგრელო
