Surname,Region
გაბიდაური,ქართლი
გაბინაშვილი,ქართლი
გაბიძე,ქართლი
გაბლიშვილი,ქართლი
გაბოძე,ქართლი
გაბრიელაშვილი,ქართლი
გაბრიელიძე,ქართლი
გაბროშვილი,ქართლი
გაგანიძე,ქართლი
გაგაძე,ქართლი
გაგელაშვილი,ქართლი
გაგელიძე,ქართლი
გაგვიშვილი,ქართლი
გაგიშვილი,ქართლი
გაგლოშვილი,ქართლი
გაგნიძე,ქართლი
გაგოშვილი,ქართლი
გადიშვილი,ქართლი
გარიშვილი,ქართლი
გავაკეთაშვილი,ქართლი
გავაშვილი,ქართლი
გაზაშვილი,ქართლი
გათაშვილი,ქართლი
გათენაშვილი,ქართლი
გათიაშვილი,ქართლი
გაიკარაშვილი,ქართლი
გაიხარაშვილი,ქართლი
გალავანიშვილი,ქართლი
გალაშვილი,ქართლი
გალეგაშვილი,ქართლი
გალუაშვილი,ქართლი
გამარჯაშვილი,ქართლი
გამგებელი,ქართლი
გამდლიშვილი,ქართლი
გამიხარდაშვილი,ქართლი
გამრეკელი,ქართლი
გამხიტაშვილი,ქართლი
გამხუაშვილი,ქართლი
გამჯაშვილი,ქართლი
განძიელი,ქართლი
განჯელაშვილი,ქართლი
გარანაშვილი,ქართლი
გარდავაძე,ქართლი
გარდაფხაძე,ქართლი
გაროზაშვილი,ქართლი
გარსევანაშვილი,ქართლი
გარსევანიშვილი,ქართლი
გარსიძე,ქართლი
გასიტაშვილი,ქართლი
გასიშვილი,ქართლი
გაფიშვილი,ქართლი
გაჩლავაშვილი,ქართლი
გახელაძე,ქართლი
გეგელაშვილი,ქართლი
გეგელიშვილი,ქართლი
გედევანიშვილი,ქართლი
გეთაშვილი,ქართლი
გელაშვილი,ქართლი
გელაძე,ქართლი
გელდიაშვილი,ქართლი
გელიაშვილი,ქართლი
გელიტაშვილი,ქართლი
გელიშვილი,ქართლი
გელუტაშვილი,ქართლი
გელხაური,ქართლი
გემიაშვილი,ქართლი
გენგაშვილი,ქართლი
გენგიური,ქართლი
გენებაშვილი,ქართლი
გერკეული,ქართლი
გერმანაშვილი,ქართლი
გერმანიშვილი,ქართლი
გერმანოზაშვილი,ქართლი
გერმოზანაშვილი,ქართლი
გეტაშვილი,ქართლი
გეჯაძე,ქართლი
გვარამაშვილი,ქართლი
გვარაძე,ქართლი
გვერდწითელი,ქართლი
გვიანაშვილი,ქართლი
გვიანიშვილი,ქართლი
გვიმრაძე,ქართლი
გვინდაძე,ქართლი
გვინჩიძე,ქართლი
გვირჯიშვილი,ქართლი
გვრიტიშვილი,ქართლი
გვრიტიძე,ქართლი
გზირიშვილი,ქართლი
გიაშვილი,ქართლი
გიბიშვილი,ქართლი
გიგაური,ქართლი
გიგიაშვილი,ქართლი
გიგილაშვილი,ქართლი
გიგიტაშვილი,ქართლი
გიგნიაშვილი,ქართლი
გიგოლაშვილი,ქართლი
გიგუაშვილი,ქართლი
გივიაშვილი,ქართლი
გითაძე,ქართლი
გიკაშვილი,ქართლი
გილაური,ქართლი
გინტური,ქართლი
გიორგაშვილი,ქართლი
გიორგიშვილი,ქართლი
გიორგობიანი,ქართლი
გირგველიანი,ქართლი
გიუაშვილი,ქართლი
გიუნაშვილი,ქართლი
გიუტაშვილი,ქართლი
გლახაშვილი,ქართლი
გლოველი,ქართლი
გლურჯიძე,ქართლი
გმირიძე,ქართლი
გოგალაშვილი,ქართლი
გოგალაძე,ქართლი
გოგებაშვილი,ქართლი
გოგიბედაშვილი,ქართლი
გოგილაძე,ქართლი
გოგინაშვილი,ქართლი
გოგიტაშვილი,ქართლი
გოგიტიშვილი,ქართლი
გოგიჩაშვილი,ქართლი
გოგიძე,ქართლი
გოგიჯანაშვილი,ქართლი
გოდერძიშვილი,ქართლი
გომიაშვილი,ქართლი
გოგლაძე,ქართლი
გოგლიძე,ქართლი
გოგნელაშვილი,ქართლი
გოგნიაშვილი,ქართლი
გოგობერიძე,ქართლი
გოგოლაური,ქართლი
გოგოჩაშვილი,ქართლი
გოგოჭური,ქართლი
გოგრიაშვილი,ქართლი
გოგშელიძე,ქართლი
გოდაძე,ქართლი
გოდელაშვილი,ქართლი
გოდელაძე,ქართლი
გოდერძაული,ქართლი
გოდინაშვილი,ქართლი
გოდიშვილი,ქართლი
გოიაშვილი,ქართლი
გოკაძე,ქართლი
გოლაშვილი,ქართლი
გოლიჯაშვილი,ქართლი
გოლოშვილი,ქართლი
გომარელი,ქართლი
გომურიშვილი,ქართლი
გონგლაძე,ქართლი
გონგლიაშვილი,ქართლი
გონდაური,ქართლი
გონიაშვილი,ქართლი
გორგიშელი,ქართლი
გორგიშვილი,ქართლი
გორდაშვილი,ქართლი
გორდაძე,ქართლი
გორელიშვილი,ქართლი
